name.forbes-billionaires,lastName.forbes-billionaires,uri.forbes-billionaires,imageUri.forbes-billionaires,worthChange.forbes-billionaires,age.forbes-billionaires,source.forbes-billionaires,industry.forbes-billionaires,gender.forbes-billionaires,country.forbes-billionaires,timestamp.forbes-billionaires,realTimeWorth.forbes-billionaires,realTimeRank.forbes-billionaires,realTimePosition.forbes-billionaires,position.forbes-china-billionaires,rank.forbes-china-billionaires,name.forbes-china-billionaires,lastName.forbes-china-billionaires,uri.forbes-china-billionaires,imageUri.forbes-china-billionaires,worth.forbes-china-billionaires,age.forbes-china-billionaires,source.forbes-china-billionaires,industry.forbes-china-billionaires,gender.forbes-china-billionaires,Cosine
Cheung Yan,Cheung,cheung-yan,cheung-yan,-55.019,60,paper manufacturing,Manufacturing,F,China,1516704901086,2017.306,1254,1254,133,132,Cheung Yan,Cheung,cheung-yan,cheung-yan,2300,60,paper manufacturing,Manufacturing,F,//specials-images.forbesimg.com/imageserve/589dfbf831358e1a35ab1599/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=150&cropY2=894,99
He Yamin,He,he-yamin,no-pic,empty,60,manufacturing,Manufacturing,M,China,1510749420324,374,373,He Yamin,He,he-yamin,no-pic,1130,60,manufacturing,Manufacturing,M,99
Jane Lauder,Lauder,jane-lauder,jane-lauder,7.391,45,cosmetics,Fashion & Retail,F,United States,1516704901086,2465.402,1021,1021,337,333,Jane Yan,Yan,jane-yan,jane-yan,1200,48,software,Technology,F,//specials-images.forbesimg.com/imageserve/58c32b964bbe6f0e55885cca/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416,49
Lee Boo-Jin,Lee,lee-boo-jin,lee-boo-jin,-4.905,47,computer services/tourism,Service,F,South Korea,1516704901086,2184.037,1161,1161,340,339,Lee Yin Yee,Lee,lee-yin-yee,no-pic,1190,66,Glass,Manufacturing,M,40
Thai Lee,Lee,thai-lee,thai-lee,0,59,IT provider,Technology,F,United States,1516704901086,1600,1507,1510,340,339,Lee Yin Yee,Lee,lee-yin-yee,no-pic,1190,66,Glass,Manufacturing,M,40
Li Li,Li,li-li-2,li-li-2,6.293,53,pharmaceuticals,Healthcare,M,China,1516704901086,1479.69,1611,1611,107,106,Li Li,Li,li-li-2,li-li-2,2600,53,pharmaceuticals,Healthcare,M,100
Lin Tianfu,Lin,lin-tianfu,lin-tianfu,-5.198,55,"footwear apparel",Fashion & Retail,M,Hong Kong,1516704901086,1212.717,1853,1853,355,352,Lin Tianfu,Lin,lin-tianfu,lin-tianfu,1160,55,"footwear apparel",Fashion & Retail,M,//specials-images.forbesimg.com/imageserve/589f68b1a7ea431f32194be2/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=60&cropY2=804,99
Ma Hong,Ma,ma-hong,no-pic,16.423,50,fashion retail,Fashion & Retail,M,China,1516704901086,1531.898,1571,1571,185,184,Ma Hong,Ma,ma-hong,no-pic,1800,50,fashion retail,Fashion & Retail,M,99
Su Suyu,Su,su-suyu,no-pic-female,90.159,69,"utilities real estate",Real Estate,F,China,1516704901086,2146.815,1177,1177,154,152,Su Suyu,Su,su-suyu,no-pic-female,2030,69,"utilities real estate",Real Estate,F,99
Wang Qingtao,Wang,wang-qingtao,no-pic,0,55,steel smelting,Metals & Mining,M,China,1516704901086,1857.277,1349,1349,189,187,Wang Qingtao,Wang,wang-qingtao,no-pic,1790,55,steel smelting,Metals & Mining,M,//specials-images.forbesimg.com/imageserve/589de4a6a7ea431f3219329f/416x416.jpg?background=000000&cropX1=13&cropX2=657&cropY1=185&cropY2=830,99
Wen Pengcheng,Wen,wen-pengcheng,no-pic,57.917,55,agribusiness,Food and Beverage,M,China,1516704901086,1250.16,1817,1817,394,393,Wen Pengcheng,Wen,wen-pengcheng,no-pic,1080,55,agribusiness,Food and Beverage,M,99
Wong Kwong Yu,Wong,wong-kwong-yu,wong-kwong-yu,0.674,48,retail,Fashion & Retail,M,China,1516704901086,1769.677,1391,1391,186,184,Wong Kwong Yu,Wong,wong-kwong-yu,wong-kwong-yu,1800,48,retail,Fashion & Retail,M,//specials-images.forbesimg.com/imageserve/589dee5aa7ea431f32193360/416x416.jpg?background=000000&cropX1=234&cropX2=538&cropY1=261&cropY2=566,100
Ye Cheng,Ye,ye-cheng,no-pic,0,56,conglomerate,Diversified,M,China,1516704901086,2107.277,1196,1196,155,152,Ye Cheng,Ye,ye-cheng,no-pic,2030,56,conglomerate,Diversified,M,99
Chen Liying,Chen,chen-liying,no-pic-female,36.868,42,package delivery,Logistics,F,China,1516704901086,1588.56,1523,1523,73,73,Chen Dongsheng,Chen,chen-dongsheng,no-pic,3600,60,insurance,Finance and Investments,M,//specials-images.forbesimg.com/imageserve/5a05ff0b4bbe6f37dda22ab7/416x416.jpg?background=000000&cropX1=1661&cropX2=4997&cropY1=14&cropY2=3350,49
Chen Liying,Chen,chen-liying,no-pic-female,36.868,42,package delivery,Logistics,F,China,1516704901086,1588.56,1523,1523,90,90,Chen Fashu,Chen,chen-fashu,chen-fashu,3100,57,investments,Finance and Investments,M,//specials-images.forbesimg.com/imageserve/5a061a6b31358e542c051d52/416x416.jpg?background=000000&cropX1=400&cropX2=2723&cropY1=5&cropY2=2326,49
Chen Liying,Chen,chen-liying,no-pic-female,36.868,42,package delivery,Logistics,F,China,1516704901086,1588.56,1523,1523,93,93,Chen Bang,Chen,chen-bang,chen-bang,3030,52,hospitals,Healthcare,M,//specials-images.forbesimg.com/imageserve/c0e911b1254c2a8ff552dcb819a51b50/416x416.jpg?background=000000&cropX1=6&cropX2=739&cropY1=61&cropY2=794,49
Chen Liying,Chen,chen-liying,no-pic-female,36.868,42,package delivery,Logistics,F,China,1516704901086,1588.56,1523,1523,109,109,Chen Jianhua,Chen,chen-jianhua,chen-jianhua,2590,47,chemicals,Manufacturing,M,//specials-images.forbesimg.com/imageserve/589ce89aa7ea431f3219275d/416x416.jpg?background=000000&cropX1=68&cropX2=694&cropY1=192&cropY2=819,49
Chen Liying,Chen,chen-liying,no-pic-female,36.868,42,package delivery,Logistics,F,China,1516704901086,1588.56,1523,1523,132,132,Chen Qingzhou,Chen,chen-qingzhou,no-pic,2300,52,communications equipment,Telecom,M,49
Chen Liying,Chen,chen-liying,no-pic-female,36.868,42,package delivery,Logistics,F,China,1516704901086,1588.56,1523,1523,135,135,Chen Jinxia,Chen,chen-jinxia,no-pic-female,2290,49,investments,Finance and Investments,F,49
Chen Liying,Chen,chen-liying,no-pic-female,36.868,42,package delivery,Logistics,F,China,1516704901086,1588.56,1523,1523,136,136,Chen Hua,Chen,chen-hua-1,chen-hua-1,2280,52,real estate,Real Estate,M,//specials-images.forbesimg.com/imageserve/589ce2114bbe6f0e558666f7/416x416.jpg?background=000000&cropX1=3&cropX2=744&cropY1=103&cropY2=844,49
Chen Liying,Chen,chen-liying,no-pic-female,36.868,42,package delivery,Logistics,F,China,1516704901086,1588.56,1523,1523,165,165,Chen Qixing,Chen,chen-qixing,no-pic,1910,58,electronics components,Technology,M,49
Chen Liying,Chen,chen-liying,no-pic-female,36.868,42,package delivery,Logistics,F,China,1516704901086,1588.56,1523,1523,177,177,Chen Dejun,Chen,chen-dejun,no-pic,1840,47,package delivery,Logistics,M,//specials-images.forbesimg.com/imageserve/589cebf1a7ea431f321927c9/416x416.jpg?background=000000&cropX1=147&cropX2=511&cropY1=243&cropY2=607,49
Chen Liying,Chen,chen-liying,no-pic-female,36.868,42,package delivery,Logistics,F,China,1516704901086,1588.56,1523,1523,202,202,Chen Xiaoying,Chen,chen-xiaoying,no-pic-female,1700,41,package delivery,Logistics,F,49
Chen Liying,Chen,chen-liying,no-pic-female,36.868,42,package delivery,Logistics,F,China,1516704901086,1588.56,1523,1523,203,202,Chen Xueli,Chen,chen-xueli,no-pic,1700,67,pharmaceuticals,Healthcare,M,//specials-images.forbesimg.com/imageserve/589ceb5c4bbe6f0e5586699b/416x416.jpg?background=000000&cropX1=19&cropX2=713&cropY1=35&cropY2=730,49
Chen Liying,Chen,chen-liying,no-pic-female,36.868,42,package delivery,Logistics,F,China,1516704901086,1588.56,1523,1523,205,205,Chen Feng,Chen,chen-feng-1,no-pic,1690,64,conglomerate,Diversified,M,49
Chen Liying,Chen,chen-liying,no-pic-female,36.868,42,package delivery,Logistics,F,China,1516704901086,1588.56,1523,1523,210,210,Chen Zhuolin,Chen,chen-zhuolin,chen-zhuolin,1670,55,real estate,Real Estate,M,49
Chen Liying,Chen,chen-liying,no-pic-female,36.868,42,package delivery,Logistics,F,China,1516704901086,1588.56,1523,1523,238,238,Chen Tianqiao,Chen,chen-tianqiao,chen-tianqiao,1550,44,online games,Technology,M,49
Chen Liying,Chen,chen-liying,no-pic-female,36.868,42,package delivery,Logistics,F,China,1516704901086,1588.56,1523,1523,272,272,Chen Ningning,Chen,chen-ningning,chen-ningning,1410,47,minerals,Metals & Mining,F,49
Chen Liying,Chen,chen-liying,no-pic-female,36.868,42,package delivery,Logistics,F,China,1516704901086,1588.56,1523,1523,323,323,Chen Xiaxin,Chen,chen-xiaxin,no-pic,1230,55,manufacturing,Diversified,M,49
Chen Liying,Chen,chen-liying,no-pic-female,36.868,42,package delivery,Logistics,F,China,1516704901086,1588.56,1523,1523,345,344,Chen Bo,Chen,chen-bo,no-pic,1170,47,wind power generation,Energy,M,49
Chen Liying,Chen,chen-liying,no-pic-female,36.868,42,package delivery,Logistics,F,China,1516704901086,1588.56,1523,1523,352,352,Chen Dakui,Chen,chen-dakui,no-pic,1160,66,shrink-wrap film,Manufacturing,M,49
Chen Liying,Chen,chen-liying,no-pic-female,36.868,42,package delivery,Logistics,F,China,1516704901086,1588.56,1523,1523,377,377,Chen Jinsong,Chen,chen-jinsong,chen-jinsong,1120,54,real estate,Real Estate,M,49
Chen Qixing,Chen,chen-qixing,no-pic,14.459,58,electronics components,Technology,M,China,1516704901086,1190.819,1880,1880,165,165,Chen Qixing,Chen,chen-qixing,no-pic,1910,58,electronics components,Technology,M,99
Dou Zhenggang,Dou,dou-zhenggang,no-pic,0,64,"energy chemicals",Diversified,M,China,1516704901086,1826.983,1364,1364,193,193,Dou Zhenggang,Dou,dou-zhenggang,no-pic,1760,64,"energy chemicals",Diversified,M,99
Fang Tonghua,Fang,fang-tonghua,no-pic,empty,55,pharmaceuticals,Healthcare,M,China,1510749420289,373,373,Fang Tonghua,Fang,fang-tonghua,no-pic,1130,55,pharmaceuticals,Healthcare,M,99
William Fisher,Fisher,william-fisher,william-fisher,26.937,60,Gap,Fashion & Retail,M,United States,1516704901086,1877.473,1336,1336,9,9,William Ding,Ding,william-ding,william-ding,16900,46,online games,Technology,M,//specials-images.forbesimg.com/imageserve/5a05ee844bbe6f37dda228e8/416x416.jpg?background=000000&cropX1=660&cropX2=3091&cropY1=12&cropY2=2441,49
William Fisher,Fisher,william-fisher,william-fisher,26.937,60,Gap,Fashion & Retail,M,United States,1516704901086,1877.473,1336,1336,219,218,William Li,Li,william-li,no-pic,1630,43,automobiles,Automotive,M,49
Fu Guangming,Fu,fu-guangming,fu-guangming,12.778,64,poultry,Food and Beverage,M,China,1516704901086,1349.216,1728,1728,286,286,Fu Guangming,Fu,fu-guangming,fu-guangming,1340,64,poultry,Food and Beverage,M,99
William Fung,Fung,william-fung,william-fung,1.514,68,sourcing,Fashion & Retail,M,Hong Kong,1516704901086,1537.915,1563,1563,9,9,William Ding,Ding,william-ding,william-ding,16900,46,online games,Technology,M,//specials-images.forbesimg.com/imageserve/5a05ee844bbe6f37dda228e8/416x416.jpg?background=000000&cropX1=660&cropX2=3091&cropY1=12&cropY2=2441,49
William Fung,Fung,william-fung,william-fung,1.514,68,sourcing,Fashion & Retail,M,Hong Kong,1516704901086,1537.915,1563,1563,219,218,William Li,Li,william-li,no-pic,1630,43,automobiles,Automotive,M,49
William Heinecke,Heinecke,william-heinecke,william-heinecke,11.97,69,hotels,Real Estate,M,Thailand,1516704901086,2203.863,1147,1147,9,9,William Ding,Ding,william-ding,william-ding,16900,46,online games,Technology,M,//specials-images.forbesimg.com/imageserve/5a05ee844bbe6f37dda228e8/416x416.jpg?background=000000&cropX1=660&cropX2=3091&cropY1=12&cropY2=2441,49
William Heinecke,Heinecke,william-heinecke,william-heinecke,11.97,69,hotels,Real Estate,M,Thailand,1516704901086,2203.863,1147,1147,219,218,William Li,Li,william-li,no-pic,1630,43,automobiles,Automotive,M,49
Hong Seok-Joh,Hong,hong-seok-joh,hong-seok-joh,5.897,65,convenience stores,Fashion & Retail,M,South Korea,1516704901086,1274.008,1797,1797,185,184,Ma Hong,Ma,ma-hong,no-pic,1800,50,fashion retail,Fashion & Retail,M,49
Hu Kaijun,Hu,hu-kaijun,no-pic,117.001,56,pharmaceuticals,Healthcare,M,China,1516704901086,2204.305,1146,1146,170,169,Hu Kaijun,Hu,hu-kaijun,no-pic,1890,56,pharmaceuticals,Healthcare,M,99
Huang Chulong,Huang,huang-chulong,huang-chulong,0,59,real estate,Real Estate,M,Canada,1516704901086,1682.011,1453,1453,223,222,Huang Chulong,Huang,huang-chulong,huang-chulong,1620,59,real estate,Real Estate,M,//specials-images.forbesimg.com/imageserve/589cce694bbe6f0e5586650d/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=164&cropY2=908,99
Huang Li,Huang,huang-li-1,huang-li-1,-0.001,54,imaging systems,Technology,M,China,1516704901086,1080.685,1973,1973,339,339,Huang Li,Huang,huang-li-1,huang-li-1,1190,54,imaging systems,Technology,M,//specials-images.forbesimg.com/imageserve/589d00f431358e1a35ab0a5f/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=93&cropY2=837,99
Huang Qiaoling,Huang,huang-qiaoling,huang-qiaoling,26.932,59,amusement parks,Media & Entertainment,M,China,1516704901086,1482.178,1609,1609,246,245,Huang Qiaoling,Huang,huang-qiaoling,huang-qiaoling,1500,59,amusement parks,Media & Entertainment,M,//specials-images.forbesimg.com/imageserve/589cffdb4bbe6f0e55866afb/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=122&cropY2=866,99
Huo Qinghua,Huo,huo-qinghua,no-pic,0,56,coal,Energy,M,China,1516704901086,1652.717,1474,1474,230,229,Huo Qinghua,Huo,huo-qinghua,no-pic,1590,56,coal,Energy,M,99
Jiang Xuefei,Jiang,jiang-xuefei,no-pic,-5.823,48,printed circuit boards,Technology,M,China,1516704901086,1152.953,1912,1912,273,272,Jiang Xuefei,Jiang,jiang-xuefei,no-pic,1410,48,printed circuit boards,Technology,M,99
Ke Xiping,Ke,ke-xiping,ke-xiping,50.76,57,investments,Diversified,M,China,1516704901086,2067.184,1226,1226,188,187,Ke Xiping,Ke,ke-xiping,ke-xiping,1790,57,investments,Diversified,M,//specials-images.forbesimg.com/imageserve/589d09fea7ea431f3219292c/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=116&cropY2=860,99
King Pak Fu,King,king-pak-fu,king-pak-fu,0.688,48,real estate,Real Estate,M,Hong Kong,1516704901086,1207.734,1860,1860,317,317,King Pak Fu,King,king-pak-fu,king-pak-fu,1250,48,real estate,Real Estate,M,//specials-images.forbesimg.com/imageserve/589f64fa4bbe6f0e55868ce7/416x416.jpg?background=000000&cropX1=134&cropX2=609&cropY1=68&cropY2=543,100
Lee Seo-Hyun,Lee,lee-seo-hyun,lee-seo-hyun,-4.905,44,"computer services tourism",Diversified,F,South Korea,1516704901086,2064.652,1227,1227,340,339,Lee Yin Yee,Lee,lee-yin-yee,no-pic,1190,66,Glass,Manufacturing,M,40
Li Zongsong,Li,li-zongsong,no-pic,4.27,50,pharmaceuticals,Healthcare,M,China,1516704901086,1864.482,1340,1340,260,260,Li Zongsong,Li,li-zongsong,no-pic,1460,50,pharmaceuticals,Healthcare,M,99
Liang Zhaoxian,Liang,liang-zhaoxian,liang-zhaoxian,empty,53,appliances,Manufacturing,M,China,1506115853477,54,54,Liang Wengen,Liang,liang-wengen,liang-wengen,4200,61,construction equipment,Manufacturing,M,//specials-images.forbesimg.com/imageserve/589d1f1131358e1a35ab0b49/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=48&cropY2=792,49
Liang Zhaoxian,Liang,liang-zhaoxian,liang-zhaoxian,empty,53,appliances,Manufacturing,M,China,1506115853477,66,66,Liang Xinjun,Liang,liang-xinjun,liang-xinjun,3800,50,conglomerate,Diversified,M,//specials-images.forbesimg.com/imageserve/5a05fd2a31358e542c051a24/416x416.jpg?background=000000&cropX1=0&cropX2=2667&cropY1=314&cropY2=2983,49
Liang Zhaoxian,Liang,liang-zhaoxian,liang-zhaoxian,empty,53,appliances,Manufacturing,M,China,1506115853477,209,209,Liang Yunchao,Liang,liang-yunchao,liang-yunchao,1680,49,nutrition supplements,Food and Beverage,M,49
Liang Zhaoxian,Liang,liang-zhaoxian,liang-zhaoxian,empty,53,appliances,Manufacturing,M,China,1506115853477,303,303,Liang Guangwei,Liang,liang-guangwei,no-pic,1300,54,conglomerate,Manufacturing,M,//specials-images.forbesimg.com/imageserve/589d1031a7ea431f3219298f/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=201&cropY2=945,49
Liu Ming Chung,Liu,liu-ming-chung,liu-ming-chung,-79.678,55,paper manufacturing,Manufacturing,M,Brazil,1516704901086,2983.281,811,811,148,147,Liu Ming Hui,Liu,liu-ming-hui,liu-ming-hui,2100,55,natural gas distribution,Energy,M,//specials-images.forbesimg.com/imageserve/58c33a78a7ea431f321aedab/416x416.jpg?background=000000&cropX1=145&cropX2=639&cropY1=140&cropY2=635,66
Qi Jinxing,Qi,qi-jinxing,qi-jinxing,59.153,55,real estate,Real Estate,M,China,1516704901086,1904.148,1317,1317,239,238,Qi Jinxing,Qi,qi-jinxing,qi-jinxing,1550,55,real estate,Real Estate,M,//specials-images.forbesimg.com/imageserve/58c6b84f4bbe6f0e55887516/416x416.jpg?background=000000&cropX1=205&cropX2=678&cropY1=221&cropY2=695,99
Shen Wenrong,Shen,shen-wenrong,shen-wenrong,1.234,71,steel production,Metals & Mining,M,China,1516704901086,2625.84,951,951,113,113,Shen Wenrong,Shen,shen-wenrong,shen-wenrong,2530,71,steel production,Metals & Mining,M,//specials-images.forbesimg.com/imageserve/589dad884bbe6f0e55867029/416x416.jpg?background=000000&cropX1=101&cropX2=724&cropY1=150&cropY2=774,99
Frank Stronach,Stronach,frank-stronach,frank-stronach,0,85,auto parts,Automotive,M,Canada,1516704901086,1467,1623,1623,88,87,Frank Wang,Wang,frank-wang,frank-wang,3200,37,drones,Technology,M,http://specials-images.forbesimg.com/imageserve/57a3950331358e4fd70bee4d/416x416.jpg?background=000000&cropX1=50&cropX2=631&cropY1=35&cropY2=617,49
Tang Hsiang-chien,Tang,tang-hsiang-chien,tang-hsiang-chien,15.519,94,"textiles electronics",Manufacturing,M,Hong Kong,1516704901086,1594.566,1517,1517,167,166,Ning Tang,Tang,ning-tang,no-pic,1900,44,online lending,Finance and Investments,M,49
Tang Hsiang-chien,Tang,tang-hsiang-chien,tang-hsiang-chien,15.519,94,"textiles electronics",Manufacturing,M,Hong Kong,1516704901086,1594.566,1517,1517,267,266,Tang Yan,Tang,tang-yan,no-pic,1430,39,social media,Technology,M,49
Tang Hsiang-chien,Tang,tang-hsiang-chien,tang-hsiang-chien,15.519,94,"textiles electronics",Manufacturing,M,Hong Kong,1516704901086,1594.566,1517,1517,305,303,Tang Jianfang,Tang,tang-jianfang,no-pic-female,1300,empty,packaged foods,Food and Beverage,F,49
Wang Miaotong,Wang,wang-miaotong,no-pic,-9.289,60,auto parts,Automotive,M,China,1516704901086,1166.529,1896,1896,4,4,Wang Jianlin,Wang,wang-jianlin,wang-jianlin,25200,63,real estate,Real Estate,M,//specials-images.forbesimg.com/imageserve/5a0b1e1331358e542c053e6a/416x416.jpg?background=000000&cropX1=1473&cropX2=5308&cropY1=8&cropY2=3840,49
Wang Miaotong,Wang,wang-miaotong,no-pic,-9.289,60,auto parts,Automotive,M,China,1516704901086,1166.529,1896,1896,5,5,Wang Wei,Wang,wang-wei,wang-wei,22300,48,package delivery,Service,M,//specials-images.forbesimg.com/imageserve/5a0b1e5a31358e542c053e81/416x416.jpg?background=000000&cropX1=0&cropX2=1996&cropY1=4&cropY2=2001,49
Wang Miaotong,Wang,wang-miaotong,no-pic,-9.289,60,auto parts,Automotive,M,China,1516704901086,1166.529,1896,1896,11,11,Wang Wenyin,Wang,wang-wenyin,wang-wenyin,13500,50,"mining copper products",Metals & Mining,M,//specials-images.forbesimg.com/imageserve/e94afbcadb087101242c43af4ece6485/416x416.jpg?background=000000&cropX1=124&cropX2=602&cropY1=6&cropY2=485,49
Wang Miaotong,Wang,wang-miaotong,no-pic,-9.289,60,auto parts,Automotive,M,China,1516704901086,1166.529,1896,1896,29,29,Wang Wenxue,Wang,wang-wenxue,wang-wenxue,6350,50,real estate,Real Estate,M,//specials-images.forbesimg.com/imageserve/5a05f56531358e542c051956/416x416.jpg?background=000000&cropX1=223&cropX2=1506&cropY1=3&cropY2=1285,49
Wang Miaotong,Wang,wang-miaotong,no-pic,-9.289,60,auto parts,Automotive,M,China,1516704901086,1166.529,1896,1896,39,39,Wang Chuanfu,Wang,wang-chuanfu,wang-chuanfu,5600,51,"batteries automobiles",Automotive,M,//specials-images.forbesimg.com/imageserve/5a05f8194bbe6f37dda22a1f/416x416.jpg?background=000000&cropX1=1086&cropX2=3845&cropY1=6&cropY2=2765,49
Wang Miaotong,Wang,wang-miaotong,no-pic,-9.289,60,auto parts,Automotive,M,China,1516704901086,1166.529,1896,1896,58,57,Wang Yusuo,Wang,wang-yusuo,wang-yusuo,4100,53,natural gas distribution,Energy,M,//specials-images.forbesimg.com/imageserve/589de96aa7ea431f32193304/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=77&cropY2=821,49
Wang Miaotong,Wang,wang-miaotong,no-pic,-9.289,60,auto parts,Automotive,M,China,1516704901086,1166.529,1896,1896,59,59,Wang Xing,Wang,wang-xing,wang-xing,4050,44,e-commerce,Technology,M,//specials-images.forbesimg.com/imageserve/5a0b242131358e542c053f25/416x416.jpg?background=000000&cropX1=8&cropX2=3712&cropY1=787&cropY2=4494,49
Wang Miaotong,Wang,wang-miaotong,no-pic,-9.289,60,auto parts,Automotive,M,China,1516704901086,1166.529,1896,1896,84,83,Wang Jian,Wang,wang-jian-1,wang-jian-1,3300,64,healthcare services,Technology,M,//specials-images.forbesimg.com/imageserve/5a0b277aa7ea436b47b55a75/416x416.jpg?background=000000&cropX1=710&cropX2=3165&cropY1=0&cropY2=2456,49
Wang Miaotong,Wang,wang-miaotong,no-pic,-9.289,60,auto parts,Automotive,M,China,1516704901086,1166.529,1896,1896,88,87,Frank Wang,Wang,frank-wang,frank-wang,3200,37,drones,Technology,M,http://specials-images.forbesimg.com/imageserve/57a3950331358e4fd70bee4d/416x416.jpg?background=000000&cropX1=50&cropX2=631&cropY1=35&cropY2=617,49
Wang Miaotong,Wang,wang-miaotong,no-pic,-9.289,60,auto parts,Automotive,M,China,1516704901086,1166.529,1896,1896,94,94,Wang Laichun,Wang,wang-laichun,no-pic-female,3000,50,electronics components,Technology,F,//specials-images.forbesimg.com/imageserve/5a061b9131358e542c051d82/416x416.jpg?background=000000&cropX1=74&cropX2=842&cropY1=25&cropY2=794,49
Wang Miaotong,Wang,wang-miaotong,no-pic,-9.289,60,auto parts,Automotive,M,China,1516704901086,1166.529,1896,1896,95,94,Wang Laisheng,Wang,wang-laisheng,no-pic,3000,53,electronics components,Technology,M,49
Wang Miaotong,Wang,wang-miaotong,no-pic,-9.289,60,auto parts,Automotive,M,China,1516704901086,1166.529,1896,1896,140,140,Wang Yanqing,Wang,wang-yanqing,no-pic,2230,51,electrical equipment,Manufacturing,M,49
Wang Miaotong,Wang,wang-miaotong,no-pic,-9.289,60,auto parts,Automotive,M,China,1516704901086,1166.529,1896,1896,150,150,Wang Xicheng,Wang,wang-xicheng,no-pic,2070,69,tires,Manufacturing,M,49
Wang Miaotong,Wang,wang-miaotong,no-pic,-9.289,60,auto parts,Automotive,M,China,1516704901086,1166.529,1896,1896,162,162,Wang Zhenhua,Wang,wang-zhenhua,no-pic,1940,55,real estate,Real Estate,M,49
Wang Miaotong,Wang,wang-miaotong,no-pic,-9.289,60,auto parts,Automotive,M,China,1516704901086,1166.529,1896,1896,179,179,Wang Wenjing,Wang,wang-wenjing,wang-wenjing,1820,53,business software,Technology,M,//specials-images.forbesimg.com/imageserve/589de75931358e1a35ab137c/416x416.jpg?background=000000&cropX1=147&cropX2=598&cropY1=79&cropY2=530,49
Wang Miaotong,Wang,wang-miaotong,no-pic,-9.289,60,auto parts,Automotive,M,China,1516704901086,1166.529,1896,1896,182,181,Wang Changtian,Wang,wang-changtian,wang-changtian,1810,52,"TV movie production",Media & Entertainment,M,//specials-images.forbesimg.com/imageserve/589db3014bbe6f0e55867055/416x416.jpg?background=000000&cropX1=52&cropX2=735&cropY1=40&cropY2=723,49
Wang Miaotong,Wang,wang-miaotong,no-pic,-9.289,60,auto parts,Automotive,M,China,1516704901086,1166.529,1896,1896,189,187,Wang Qingtao,Wang,wang-qingtao,no-pic,1790,55,steel smelting,Metals & Mining,M,//specials-images.forbesimg.com/imageserve/589de4a6a7ea431f3219329f/416x416.jpg?background=000000&cropX1=13&cropX2=657&cropY1=185&cropY2=830,49
Wang Miaotong,Wang,wang-miaotong,no-pic,-9.289,60,auto parts,Automotive,M,China,1516704901086,1166.529,1896,1896,196,196,Wang Jianfeng,Wang,wang-jianfeng,no-pic,1740,48,auto parts,Automotive,M,49
Wang Miaotong,Wang,wang-miaotong,no-pic,-9.289,60,auto parts,Automotive,M,China,1516704901086,1166.529,1896,1896,197,196,Wang Qunbin,Wang,wang-qunbin,no-pic,1740,48,conglomerate,Diversified,M,49
Wang Miaotong,Wang,wang-miaotong,no-pic,-9.289,60,auto parts,Automotive,M,China,1516704901086,1166.529,1896,1896,207,205,Wang Jian,Wang,wang-jian-3,no-pic,1690,56,conglomerate,Diversified,M,49
Wang Miaotong,Wang,wang-miaotong,no-pic,-9.289,60,auto parts,Automotive,M,China,1516704901086,1166.529,1896,1896,228,227,Wang Chaobin,Wang,wang-chaobin,wang-chaobin,1600,62,real estate,Real Estate,M,//specials-images.forbesimg.com/imageserve/58c6bac7a7ea431f321b038f/416x416.jpg?background=000000&cropX1=122&cropX2=629&cropY1=240&cropY2=748,49
Wang Miaotong,Wang,wang-miaotong,no-pic,-9.289,60,auto parts,Automotive,M,China,1516704901086,1166.529,1896,1896,235,235,Wang Muqing,Wang,wang-muqing,no-pic,1560,67,auto distribution,Automotive,M,49
Wang Miaotong,Wang,wang-miaotong,no-pic,-9.289,60,auto parts,Automotive,M,China,1516704901086,1166.529,1896,1896,252,251,Wang Jinshu,Wang,wang-jinshu,no-pic,1490,61,chemicals,Manufacturing,M,49
Wang Miaotong,Wang,wang-miaotong,no-pic,-9.289,60,auto parts,Automotive,M,China,1516704901086,1166.529,1896,1896,256,255,Wang Jiufang,Wang,wang-jiufang,no-pic,1480,54,real estate,Real Estate,M,49
Wang Miaotong,Wang,wang-miaotong,no-pic,-9.289,60,auto parts,Automotive,M,China,1516704901086,1166.529,1896,1896,259,258,Wang Qicheng,Wang,wang-qicheng,no-pic,1470,38,entertainment,Technology,M,//specials-images.forbesimg.com/imageserve/589de3ca4bbe6f0e5586748c/416x416.jpg?background=000000&cropX1=52&cropX2=661&cropY1=52&cropY2=661,49
Wang Miaotong,Wang,wang-miaotong,no-pic,-9.289,60,auto parts,Automotive,M,China,1516704901086,1166.529,1896,1896,264,263,Wang Jianyi,Wang,wang-jianyi,wang-jianyi,1440,55,fiber optic cables,Technology,M,49
